"レベル","単元","グループ","単語(中文)","ピンイン","訳(日本語)","例文(中文)","例文(ピンイン)","例文訳","単語音声ファイル","日本語音声ファイル","例文音声ファイル"
1,50,2,"家","jiā","家","我下午不在家，你明天来好吗？","Wǒ xià wǔ bú zài jiā, nǐ míng tiān lái hǎo ma?","午後私は家にいません、あなたは明日来てもらってもいいですか？",1Qtango050.MP3,1Q50imi_ie.MP3,1Qreibun050.MP3
1,66,2,"吗",ma,"～か（疑問を表す）","这一块钱不是你的吗？对不起。","Zhè yí kuài qián bú shì nǐ de ma?Duì bu qǐ.","この1元コインはあなたのではないですか？ごめんなさい。",1Qtango066.MP3,1Q66imi_kagimonnwoarawasu.MP3,1Qreibun066.MP3
1,82,2,"漂亮","piào liang","うつくしい","她很漂亮。","Tā hěn piào liang.","彼女はとてもきれいです。",1Qtango082.MP3,1Q82imi_utukusi.MP3,1Qreibun082.MP3
1,98,2,"谁","shéi","誰","那是谁的电脑？","Nà shì shéi de diàn nǎo?","あれは誰のパソコンですか？",1Qtango098.MP3,1Q98imi_dare.MP3,1Qreibun098.MP3
1,114,2,"天气","tiān qì","天気・天候・気候","北京昨天天气怎么样？","Běi jīng zuó tiān tiān qì zěn me yàng?","北京の昨日の天候はどうでしたか？",1Qtango114.MP3,1Q114imi_tenki.MP3,1Qreibun114.MP3
1,130,2,"些","xiē","いくつか・少し（不確定の数量をあらわす量詞）","这些人是谁？-他们都是我在中国认识的朋友。","Zhè xiē rén shì shéi? - Tā men dōu shì wǒ zài zhōng guó rèn shi de péng you.","この人たちは誰ですか？－彼らはみんな私が中国で知り合った友達です。",1Qtango130.MP3,1Q130imi_ikutuka.MP3,1Qreibun130.MP3
1,145,2,"个月","ge yuè","～か月","北京一年中有三个月很冷。","Běi jīng yì nián zhōng yǒu sān ge yuè hěn lěng.","北京では1年のうち3カ月が寒いです。",1Qtango145.MP3,1Q145imi_kagetu.MP3,1Qreibun145.MP3
1,3,3,"爸爸","bà ba","お父さん","爸爸什么时候来北京呢？","Bà ba shén me shí hou lái Běi jīng ne?","お父さんはいつ北京に来るのですか？",1Qtango003.MP3,1Q3imi_otousan.MP3,1Qreibun003.MP3
1,19,3,"电视","diàn shì","テレビ","你好，这个电视多少钱？","Nǐ hǎo , zhè ge diàn shì duō shao qián?","こんにちは。このテレビはいくらですか？",1Qtango019.MP3,1Q19imi_terebi.MP3,1Qreibun019.MP3
1,35,3,"高兴","gāo xìng","うれしい","你好！很高兴认识你。","Nǐ hǎo!Hěn gāo xìng rèn shi nǐ.","こんにちは。お目にかかれてうれしいです。",1Qtango035.MP3,1Q35imi_uresii.MP3,1Qreibun035.MP3
1,51,3,"叫","jiào","（名前を）～という","前面那个医生叫什么名字？","Qián miàn nà ge yī shēng jiào shén me míng zì?","前方にいるあの医師は何という名前ですか？",1Qtango051.MP3,1Q51imi_namaewotoiu.MP3,1Qreibun051.MP3
1,67,3,"买","măi","買う","他们在买衣服呢。","Tā men zài mǎi yī fu ne.","彼らは服を買っているところです。",1Qtango067.MP3,1Q67imi_kau.MP3,1Qreibun067.MP3
1,83,3,"苹果","píng guŏ","リンゴ","苹果在桌子上。","Píng guǒ zài zhuō zi shang.","リンゴは机の上にあります。",1Qtango083.MP3,1Q83imi_ringo.MP3,1Qreibun083.MP3
1,99,3,"什么","shén me","なに","来，我们看看里面是什么东西。","Lái,wǒ men kàn kan lǐ miàn shì shén me dōng xi.","おいで（さて）。中にあるのは何なのか、私たち見てみましょうよ。",1Qtango099.MP3,1Q99imi_nani.MP3,1Qreibun099.MP3
1,115,3,"听","tīng","聞く","在飞机上，爸爸听见后面有人叫他。","Zài fēi jī shang,bà ba tīng jiàn hòu mian yǒu rén jiào tā.","飛行機で、父には後ろで誰かが彼を呼んでいるのが聞こえました。",1Qtango115.MP3,1Q115imi_kiku.MP3,1Qreibun115.MP3
1,131,3,"这些","zhè xiē","これら","这些都是张小姐的。","Zhè xiē dōu shì Zhāng xiǎo jiě de.","これらはみんな張さんのものです。",1Qtango131.MP3,1Q131imi_korera.MP3,1Qreibun131.MP3
1,146,3,"在","zài","（場所に）ある、いる：～で（…する）：～している","・那个饭馆儿在火车站前面。
・你的同学在哪儿工作？","・Nà ge fàn guǎn r zài huǒ chē  zhàn qián miàn.
・Nǐ de tóng xué zài nǎ r gōng zuò?","・そのレストランは駅の前にあります。
・あなたの同級生はどこで仕事をしていますか？",1Qtango146.MP3,1Q146imi_basyoniaruiru.MP3,1Qreibun146.MP3
1,4,4,"杯子","bēi zi","コップ","爸，我的杯子呢？","Bà,wǒ de bēi zi ne?","お父さん、私のコップは？",1Qtango004.MP3,1Q4imi_koppu.MP3,1Qreibun004.MP3
1,20,4,"电影","diàn yĭng","映画","那个电影怎么样？","Nà ge diàn yǐng zěn me yàng?","あの映画はどうですか？",1Qtango020.MP3,1Q20imi_eiga.MP3,1Qreibun020.MP3
1,36,4,"个","gè  ・ge","～個・～つ","他是老师，他有50个学生。","Tā shì lǎo shī, tā yǒu wǔ shí ge xué shēng.","彼は先生です。彼には50人の生徒がいます。",1Qtango036.MP3,1Q36imi_ko.MP3,1Qreibun036.MP3
1,52,4,"今天","jīn tiān","今日","今天星期四，我们明天去看电影。","Jīn tiān xīng qī sì, wǒ men míng tiān qù kàn diàn yǐng.","今日は木曜日です。私たちは明日映画を観に行きます。",1Qtango052.MP3,1Q52imi_kyo.MP3,1Qreibun052.MP3
1,68,4,"猫","māo","猫","你看见我的小猫了吗？","Nǐ kàn jiàn wǒ de xiǎo māo le ma?","あなたは私の小猫を見ましたか？",1Qtango068.MP3,1Q68imi_neko.MP3,1Qreibun068.MP3
1,84,4,"七","qī",7,"小赵在那儿工作了七年，认识很多朋友。","Xiǎo Zhào zài nà r gōng zuò le qī nián,rèn shi hěn duō péng you.","趙（ちょう）さんは7年間そこで仕事をしたので、多くの友達と知り合いです。",1Qtango084.MP3,1Q84imi_siti.MP3,1Qreibun084.MP3
1,100,4,"十","shí",10,"现在是十点十分。","Xiàn zài shì shí diǎn shí fēn.","今10時10分です。",1Qtango100.MP3,1Q100imi_jyu.MP3,1Qreibun100.MP3
1,116,4,"同学","tóng xué","同級生・（名前の後ろにつけて）～君、さん","哪个是你的同学？","Nǎ ge shì nǐ de tóng xué?","どの人があなたの同級生ですか？",1Qtango116.MP3,1Q116imi_doukyusei.MP3,1Qreibun116.MP3
1,132,4,"写","xiĕ","書く","他的汉语很好，他会写不少汉字。","Tā de hàn yǔ hěn hǎo,tā huì xiě bù shǎo hàn zì.","彼の中国語はとても上手で、彼はたくさんの漢字を書くことができます。",1Qtango132.MP3,1Q132imi_kaku.MP3,1Qreibun132.MP3
1,147,4,"再见","zài jiàn","さようなら","我在那儿住三天，星期天回来，再见。","Wǒ zài nà r zhù sān tiān,xīng qī tiān huí lái,zài jiàn.","私は3日間そこに泊まって、日曜日に戻ります。さようなら。",1Qtango147.MP3,1Q147imi_sayounara.MP3,1Qreibun147.MP3
1,5,5,"北京","Bĕi jīng","北京","他什么时候去北京？","Tā shén me shí hou qù Běi jīng?","彼はいつ北京に行きますか？",1Qtango005.MP3,1Q5imi_pekin.MP3,1Qreibun005.MP3
1,21,5,"东西","dōng xi","もの","王先生在商店买东西呢。","Wáng xiān sheng zài shāng diàn mǎi dōng xi ne.","王さんは店で買い物をしています。",1Qtango021.MP3,1Q21imi_mono.MP3,1Qreibun021.MP3
1,37,5,"工作","gōng zuò","仕事（する）","他在医院工作。","Ｔā zài yī yuàn gōng zuò.","彼は病院で働いています。",1Qtango037.MP3,1Q37imi_sigotosuru.MP3,1Qreibun037.MP3
1,53,5,"九","jiŭ",9,"你坐几点的飞机？—上午九点。","Nǐ zuò jǐ diǎn de fēi jī? - Shàng wǔ jiǔ diǎn.","あなたは何時の飛行機に乗るの？-午前9時です。",1Qtango053.MP3,1Q53imi_kyu.MP3,1Qreibun053.MP3
1,69,5,"没","méi","～ない（否定を表す）","这里很多年没下雨了。","Zhè lǐ hěn duō nián méi xià yǔ le.","ここは何年も雨が降っていないのです。",1Qtango069.MP3,1Q69imi_naihiteiwoarawasu.MP3,1Qreibun069.MP3
1,85,5,"钱","qián","お金","你看，我没钱了。","Nǐ kàn,wǒ méi qián le.","見てよ、僕はお金がなくなっちゃったよ。",1Qtango085.MP3,1Q85imi_okane.MP3,1Qreibun085.MP3
1,101,5,"时候","shí hou","とき","上午去医院看同学的时候，你没买些水果？","Shàng wǔ qù yī yuàn kàn tóng xué de shí hou,nǐ méi mǎi xiē shuǐ guǒ?","午前中病院に同級生のお見舞いに行く時、あなたはいくらか果物を買わなかったですか？",1Qtango101.MP3,1Q101imi_toki.MP3,1Qreibun101.MP3
1,117,5,"喂","wèi","もしもし","喂，你好，是小李吗？","Wèi(Wéi), nǐ hǎo,  shì xiǎo Lǐ ma?","もしもし、こんにちは、李さんですか？",1Qtango117.MP3,1Q117imi_mosimois.MP3,1Qreibun117.MP3
1,133,5,"谢谢","xiè xie","ありがとう","谢谢你请我看电影。","Xiè xie nǐ qǐng wǒ kàn diàn yǐng.","私を映画に誘ってくれてありがとうございます。",1Qtango133.MP3,1Q133imi_arigato.MP3,1Qreibun133.MP3
1,148,5,"怎么","zĕn me","どうやって・どうして・どう","你怎么了，不高兴了？","Nǐ zěn me le,bù gāo xìng le?","あなたはどうしたのですか？機嫌が悪いのですか？",1Qtango148.MP3,1Q148imi_douyatte.MP3,1Qreibun148.MP3
1,6,6,"本","bĕn","～冊","我要这几本书，多少钱？","Wǒ yào zhè jǐ běn shū,  duō shao qián?","私はこの数冊の本がほしいです。いくらですか？",1Qtango006.MP3,1Q6imi_satu.MP3,1Qreibun006.MP3
1,22,6,"都","dōu","みんな","我和女儿都爱看电影。","Wǒ hé nǚʼ ér dōu ài kàn diàn yǐng.","私と娘は2人とも映画を見るのが好きです。",1Qtango022.MP3,1Q22imi_minna.MP3,1Qreibun022.MP3
1,38,6,"狗","gŏu","犬","我喜欢狗，不太喜欢猫。","Wǒ xǐ huan gǒu,bú tài xǐ huan māo.","私は犬が好きです。猫は好きではありません。",1Qtango038.MP3,1Q38imi_inu.MP3,1Qreibun038.MP3
1,54,6,"开","kāi","（車などを）運転する・開く・つける","他昨天去学习开车了。","Tā zuó tiān qù xué xí kāi chē le.","彼は昨日車の運転を習いに行きました。",1Qtango054.MP3,1Q54imi_kurumanadowountensuru.MP3,1Qreibun054.MP3
1,70,6,"没关系","méi guān xi","だいじょうぶ","对不起，我不会做饭。-没关系，我会。","Duì bu qǐ, wǒ bú huì zuò fàn. - Méi guān xi, wǒ huì.","すみません、私はご飯を作ることができません（料理が不得意です）。-大丈夫です。私が作れます。",1Qtango070.MP3,1Q70imi_daijyoubu.MP3,1Qreibun070.MP3
1,86,6,"前面","qián miàn","前","我们去前面那个饭馆儿吃饭，怎么样？","Wǒ men qù qián miàn nà ge fàn guǎn r chī fàn, zěn me yàng?","前方のあのレストランにご飯を食べに行きましょうよ、どうですか？",1Qtango086.MP3,1Q86imi_mae.MP3,1Qreibun086.MP3
1,102,6,"是","shì","～である","多多是我的好朋友。","Duō duo shì wǒ de hǎo péng you.","多多は私の親友です。",1Qtango102.MP3,1Q102imi_dearu.MP3,1Qreibun102.MP3
1,118,6,"我","wŏ","私","我喜欢这个电脑。","Wǒ xǐ huan zhè ge diàn nǎo.","私はこのコンピューターが好きです。",1Qtango118.MP3,1Q118imi_watasi.MP3,1Qreibun118.MP3
1,134,6,"星期","xīng qī","～曜日","再见。-好，星期日火车站见。","Zài jiàn. - Hǎo, xīng qī rì huǒ chē zhàn jiàn.","さようなら。-では、日曜日に駅で会いましょう。",1Qtango134.MP3,1Q134imi_youbi.MP3,1Qreibun134.MP3
1,149,6,"怎么样","zĕn me yàng","どう・どのようであるか","这个桌子怎么样？","Zhè ge zhuō zi zěn me yàng?","この机はどうですか？",1Qtango149.MP3,1Q149imi_doudonoyoudearuka.MP3,1Qreibun149.MP3
1,7,7,"不客气","bú kè qi","どういたしまして","谢谢你请我看电影。-不客气。","Xiè xie nǐ qǐng wǒ kàn diàn yǐng. - Bú kè qi.","私を映画に誘ってくれてありがとう。-どういたしまして。",1Qtango007.MP3,1Q7imi_douitasimasite.MP3,1Qreibun007.MP3
1,23,7,"读","dú","読む","这些书你都读了吗？","Zhè xiē shū nǐ dōu dú le ma?","これらの本をあなたは全部読みましたか？",1Qtango023.MP3,1Q23imi_yomu.MP3,1Qreibun023.MP3
1,39,7,"汉语","Hàn yŭ","中国語","谁会说汉语？","Shéi huì shuō Hàn yǔ?","誰が中国語を話せますか？",1Qtango039.MP3,1Q39imi_tyugokugo.MP3,1Qreibun039.MP3
1,55,7,"看","kàn","見る","他和他妈妈都喜欢看电视。","Tā hé tā mā ma dōu xǐ huan kàn diàn shì.","彼と彼の母は2人とも、テレビを見るのが好きです。",1Qtango055.MP3,1Q55imi_miru.MP3,1Qreibun055.MP3
1,71,7,"米饭","mĭ fàn","ご飯・米の飯","儿子爱吃米饭。","Ér zi ài chī mǐ fàn.","息子は米飯を食べるのが好きです。",1Qtango071.MP3,1Q71imi_gohan.MP3,1Qreibun071.MP3
1,87,7,"请","qĭng","～してもらう・どうぞ～ください","王先生，请坐。","Wáng xiān sheng,qǐng zuò.","王さん、どうぞお座りください。",1Qtango087.MP3,1Q87imi_sitemorau.MP3,1Qreibun087.MP3
1,103,7,"书","shū","本","那几本书怎么样？","Nà jǐ běn shū zěn me yàng?","その何冊かの本はどうですか？",1Qtango103.MP3,1Q103imi_hon.MP3,1Qreibun103.MP3
1,119,7,"我们","wŏ men","私たち","我们什么时候看电影？","Wǒ men shén me shí hou kàn diàn yǐng?","私たちはいつ映画を見に行きますか？",1Qtango119.MP3,1Q119imi_watasitati.MP3,1Qreibun119.MP3
1,135,7,"学生","xué sheng","学生","他是小学老师，他有很多学生。","Tā shì xiǎo xué lǎo shī,tā yǒu hěn duō xué sheng.","彼は小学校の先生で、彼にはとても多くの生徒がいます。",1Qtango135.MP3,1Q135imi_gakusei.MP3,1Qreibun135.MP3
1,150,7,"这-[这儿]","zhè-[zhèr]","これ","不能在这儿睡觉，去里面睡。","Bù néng zài zhè r shuì jiào, qù lǐ miàn shuì.","ここで寝てはいけません。中へ行って寝なさい。",1Qtango150.MP3,1Q150imi_kore.MP3,1Qreibun150.MP3
1,8,8,"不","bù","～ない（否定を表す）","我不认识她。","Wǒ bú rèn shi tā.","私は彼女を知りません。",1Qtango008.MP3,1Q8imi_nai.MP3,1Qreibun008.MP3
1,24,8,"对不起","duì bu qĭ","すみません","对不起，你不喜欢狗？","Duì bu qǐ, nǐ bù xǐ huan gǒu?","すみません。あなたは犬が好きではないのですね？",1Qtango024.MP3,1Q24imi_sumimasen.MP3,1Qreibun024.MP3
1,40,8,"汉字","hàn zì","漢字","这个汉字怎么读？","Zhè ge hàn zì zěn me dú?","この漢字はなんと読むのですか？",1Qtango040.MP3,1Q40imi_kanji.MP3,1Qreibun040.MP3
1,56,8,"看见","kàn jiàn","見える","能看见儿子在哪儿吗？","Néng kàn jiàn ér zi zài nǎ r ma?","息子がどこにいるか見える？",1Qtango056.MP3,1Q56imi_mieru.MP3,1Qreibun056.MP3
1,72,8,"明天","míng tiān","あす","明天星期一，我去学校。","Míng tiān xīng qī yī,wǒ qù xué xiào.","明日は月曜日です、私は学校に行きます。",1Qtango072.MP3,1Q72imi_asu.MP3,1Qreibun072.MP3
1,88,8,"去","qù","行く","他去火车站了。","Tā qù huǒ chē zhàn le.","彼は駅に行きました。",1Qtango088.MP3,1Q88imi_iku.MP3,1Qreibun088.MP3
1,104,8,"水","shuĭ","水","太热了，有水吗?我想喝水。","Tài rè le,yǒu shuǐ ma?Wǒ xiǎng hē shuǐ.","とても暑いよ、水はある？私は水が飲みたいです。",1Qtango104.MP3,1Q104imi_mizu.MP3,1Qreibun104.MP3
1,120,8,"五","wŭ",5,"我睡五分钟。","Wǒ shuì wǔ fēn zhōng.","私は5分寝ます。",1Qtango120.MP3,1Q120imi_go.MP3,1Qreibun120.MP3
1,136,8,"学习","xué xí","勉強する","能来这儿学习汉语，我很高兴。","Néng lái zhè r xué xí Hàn yǔ,wǒ hěn gāo xìng.","ここに来て中国語を勉強できて、私はとてもうれしいです。",1Qtango136.MP3,1Q136imi_benkyousuru.MP3,1Qreibun136.MP3
1,151,8,"中国","Zhōng guó","中国","他们都是我在中国认识的朋友。","Tā men dōu shì wǒ zài Zhōng guó rèn shi de péng you.","彼らはみんな私が中国で知り合った友達です。",1Qtango151.MP3,1Q151imi_tyugoku.MP3,1Qreibun151.MP3
1,9,9,"菜","cài","料理","妈妈，我不爱吃这个菜。","Mā ma, wǒ bú ài chī zhè ge cài.","ママ、私はこの料理を食べるのは好きではないです。",1Qtango009.MP3,1Q9imi_ryouri.MP3,1Qreibun009.MP3
1,25,9,"多","duō","多い","家里有很多苹果。","Jiā lǐ yǒu hěn duō píng guǒ.","家にたくさんのリンゴがあります。",1Qtango025.MP3,1Q25imi__ooi.MP3,1Qreibun025.MP3
1,41,9,"好","hăo","よい","我们中午去买，好吗？","Wǒ men zhōng wǔ qù mǎi,hǎo ma?","私たち、お昼に買いに行きましょうよ。よいですか？",1Qtango041.MP3,1Q41imi_yoi.MP3,1Qreibun041.MP3
1,57,9,"块","kuài","元（通貨単位）","你好，这个杯子十八块钱。","Nǐ hǎo,zhè ge bēi zi shí bā kuài qián.","こんにちは、このコップは18元です。",1Qtango057.MP3,1Q57imi_gen.MP3,1Qreibun057.MP3
1,73,9,"名字","míng zi","名前","这上面没有我的名字。","Zhè shàng miàn méi yǒu wǒ de míng zi.","ここ（この書類上）には僕の名前はありません。",1Qtango073.MP3,1Q73imi_namae.MP3,1Qreibun073.MP3
1,89,9,"热","rè","暑い","今天天气太热了。","Jīn tiān tiān qì tài rè le.","今日はひどく暑いですね。",1Qtango089.MP3,1Q89imi_atui.MP3,1Qreibun089.MP3
1,105,9,"水果","shuĭ guŏ","果物","天气太热了，多吃些水果。","Tiān qì tài rè le,duō chī xiē shuǐ guǒ.","とても暑いので、たくさん果物を食べてください。",1Qtango105.MP3,1Q105imi_kudamono.MP3,1Qreibun105.MP3
1,121,9,"喜欢","xĭ huan","好む","我妈妈喜欢吃中国菜。","Wǒ mā ma xǐ huan chī Zhōng guó cài.","私の母は中国の料理を食べるのが好きです。",1Qtango121.MP3,1Q121imi_konomu.MP3,1Qreibun121.MP3
1,137,9,"学校","xué xiào","学校","你们学校有多少老师？","Nǐ men xué xiào yǒu duō shao lǎo shī?","あなたたちの学校には何人先生がいますか？",1Qtango137.MP3,1Q137imi_gakkou.MP3,1Qreibun137.MP3
1,152,9,"中午","zhōng wŭ","正午","中午你买什么东西了？","Zhōng wǔ nǐ mǎi shén me dōng xi le?","お昼にあなたは何を買いましたか？",1Qtango152.MP3,1Q152imi_syougo.MP3,1Qreibun152.MP3
1,10,10,"茶","chá","お茶","她喜欢上午喝杯茶。","Tā xǐ huan shàng wǔ hē bēi chá.","彼女は午前中お茶を1杯飲むのが好きです。",1Qtango010.MP3,1Q10imi_otya.MP3,1Qreibun010.MP3
1,26,10,"多少","duō shao","どのくらい（数量）","你开出租车多少年了？","Nǐ kāi chū zū chē duō shao nián le?","あなたはタクシーを運転して何年になりますか？",1Qtango026.MP3,1Q26imi_donokuraisuuryou.MP3,1Qreibun026.MP3
1,42,10,"喝","hē","飲む","天气很冷，喝点儿热水吧。","Tiān qì hěn lěng, hē diǎn  r  rè shuǐ ba.","とても寒いので少し熱い水を飲みましょう。",1Qtango042.MP3,1Q42imi_nomu.MP3,1Qreibun042.MP3
1,58,10,"来","lái","来る","有个朋友来北京住几天。","Yǒu ge péng you lái běi jīng zhù jǐ tiān.","ある友達が北京に来て何日か泊まります。",1Qtango058.MP3,1Q58imi_kuru.MP3,1Qreibun058.MP3
1,74,10,"哪-[哪儿]","nă-[năr]","どれ・どの‐［どこ］","他们下午去哪儿？","Tā men xià wǔ qù nǎ r?","彼らは午後どこに行きますか？",1Qtango074.MP3,1Q74imi_dore.MP3,1Qreibun074.MP3
1,90,10,"人","rén","人・～人","中国人喜欢喝茶。","Zhōng guó rén xǐ huan hē chá.","中国人はお茶を飲むのが好きです。",1Qtango090.MP3,1Q90imi_hitojin.MP3,1Qreibun090.MP3
1,106,10,"睡觉","shuì jiào","寝る","他在睡觉呢。","Tā zài shuì jiào ne.","彼は寝ています。",1Qtango106.MP3,1Q106imi_neru.MP3,1Qreibun106.MP3
1,122,10,"下","xià","下","我们去下面吃？","Wǒ men qù xià miàn chī?","私たちは、下の階に食べに行きましょうか。",1Qtango122.MP3,1Q122imi_sita.MP3,1Qreibun122.MP3
1,138,10,"一","yī",1,"现在是十一月十一日十一点十一分。","Xiàn zài shì shí yī yuè shí yī rì shí yī diǎn shí yī fēn.","今は11月11日11時11分です。",1Qtango138.MP3,1Q138imi_iti.MP3,1Qreibun138.MP3
1,153,10,"住","zhù","住む・泊まる","你住在哪儿？","Nǐ zhù zài nǎ r?","あなたはどこに住んでいるのですか？",1Qtango153.MP3,1Q153imi_sumu.MP3,1Qreibun153.MP3
1,11,11,"车","chē","車","我今天开车回家。","Wǒ jīn tiān kāi chē huí jiā.","私は今日、車を運転して家に帰ります。",1Qtango011.MP3,1Q11imi_kuruma.MP3,1Qreibun011.MP3
1,27,11,"多大","duō dà","どのくらい（大きさ）","他女儿多大了？","Tā nǚʼ ér duō dà le?","彼の娘さんはいくつになりましたか？",1Qtango027.MP3,1Q27imi_donokuraiookisa.MP3,1Qreibun027.MP3
1,43,11,"和","hé","～と","我和妈妈都住在一零二。","Wǒ hé mā ma dōu zhù zài yī líng èr.","私と母は2人とも102に住んでいます。",1Qtango043.MP3,1Q43imi_to.MP3,1Qreibun043.MP3
1,59,11,"老师","lăo shī","先生","他是老师。","Tā shì lǎo shī.","彼は先生です。",1Qtango059.MP3,1Q59imi_senisei.MP3,1Qreibun059.MP3
1,75,11,"那-[那儿]","nà-[nàr]","それ/あれ・その/あの‐［そこ/あそこ］","那个人是谁？","Nà ge rén shì shéi?","あの人は誰ですか？",1Qtango075.MP3,1Q75imi_soreare.MP3,1Qreibun075.MP3
1,91,11,"认识","rèn shi","見知る・見て分かる","你认识他？","Nǐ rèn shi tā?","あなたは彼を知っていますか？",1Qtango091.MP3,1Q91imi_misiru.MP3,1Qreibun091.MP3
1,107,11,"说话","shuō huà","話す・話をする","谁在说话？","Shéi zài shuō huà?","誰が話しているのですか？",1Qtango107.MP3,1Q107imi_hanasu.MP3,1Qreibun107.MP3
1,123,11,"下午","xià wŭ","午後","现在是下午一点十分。","Xiàn zài shì xià wǔ yī diǎn shí fēn.","今は午後1時10分です。",1Qtango123.MP3,1Q123imi_gogo.MP3,1Qreibun123.MP3
1,139,11,"衣服","yī fu","服","我看见她买衣服了。","Wǒ kàn jiàn tā mǎi yī fu le.","私は彼女が服を買うのを見ました。",1Qtango139.MP3,1Q139imi_huku.MP3,1Qreibun139.MP3
1,154,11,"桌子","zhuō zi","つくえ","这是我买的桌子和椅子。","Zhè shì wǒ mǎi de zhuō zi hé yǐ zi.","これは私が買った机と椅子です。",1Qtango154.MP3,1Q154imi_tukue.MP3,1Qreibun154.MP3
1,12,12,"吃","chī","食べる","这是小猫爱吃的东西。","Zhè shì xiǎo māo ài chī de dōng xi.","これは猫の好きな食べ物です。",1Qtango012.MP3,1Q12imi_taberu.MP3,1Qreibun012.MP3
1,28,12,"儿子","ér zi","息子","他儿子今年二十岁，是个大学生。","Tā ér zi jīn nián èr shí suì,shì ge dà xué shēng.","彼の息子は今年20歳で、大学生です。",1Qtango028.MP3,1Q28imi_musuko.MP3,1Qreibun028.MP3
1,44,12,"很","hĕn","とても","这是你的朋友吗？很漂亮。","Zhè shì nǐ de péng you ma?Hěn piào liang.","こちらはあなたの友達ですか？きれいですね。",1Qtango044.MP3,1Q44imi_totemo.MP3,1Qreibun044.MP3
1,60,12,"了",le,"変化や完了を表す「～した」","我今年十六岁了。","Wǒ jīn nián shí liù suì le.","私は今年で16歳になりました。",1Qtango060.MP3,1Q60imi_henkayakakryouwoarawasu.MP3,1Qreibun060.MP3
1,76,12,"呢",ne,"～だろうか・～している","她在家做什么呢？","Tā zài jiā zuò shén me ne?","彼女は家で何をしていますか？",1Qtango076.MP3,1Q76imi_darouka.MP3,1Qreibun076.MP3
1,92,12,"日","rì","～日","昨天是8月19日。","Zuó tiān shì bā yuè shí jiǔ rì.","昨日は8月19日です。",1Qtango092.MP3,1Q92imi_niti.MP3,1Qreibun092.MP3
1,108,12,"说","shuō","言う・話す","你会说汉语吗？","Nǐ huì shuō Hàn yǔ ma?","あなたは中国語を話せますか？",1Qtango108.MP3,1Q108imi_iu.MP3,1Qreibun108.MP3
